"Directory","Files","Bytes"
"local","46127","19911831525"
"world","7674","9350320382"
"mods","195","931848092"
"config","5972","185491804"
"libraries","104","166360202"
"logs","166","82157033"
"modernfix","1832","33301870"
"crash-reports","16","1319584"
"kubejs","11","24631"
"server-icon.png","1","12121"
"defaultconfigs","4","10415"
"VOID MMORPG Panel.exe","1","5120"
".vscode","4","5096"
".codex","5","4615"
"AGENTS.md","1","3730"
"META-INF","1","2432"
".agents","1","2374"
".lazyyyyy","1","1972"
"server.properties","1","1525"
"ops.json","1","940"
"usercache.json","1","746"
"run.bat","1","527"
"usernamecache.json","1","434"
"run.sh","1","365"
"user_jvm_args.txt","1","346"
".editorconfig","1","225"
"start_void_panel.vbs","1","208"
"eula.txt","1","160"
"rhino.local.properties","1","141"
"start_void_panel.bat","1","80"
"banned-players.json","1","2"
"banned-ips.json","1","2"
"whitelist.json","1","2"
