"category","name","enabled","projectId","fileId","fileName","required","distributionAllowed","projectUrl"
"mods","Ancient Obelisks","True","1186288","7186996","Ancient-Obelisks-1.20.1-1.2.3.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/ancient-obelisks"
"mods","Anti Bonemeal","False","320757","4590443","antibonemeal-1.20.1-1.0.2.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/anti-bonemeal"
"mods","Architectury API","False","419699","5137938","architectury-9.2.14-forge.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/architectury-api"
"mods","Armor of the Ages","False","975288","7001459","Armor of the Ages-forge-1.20.1-1.3.11.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/armor-of-the-ages"
"mods","Armourer's Workshop","True","229523","5752380","armourersworkshop-forge-1.20.1-3.0.0-beta.18.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/armourers-workshop"
"mods","Bad Mobs","False","233258","5086469","BadMobs-1.20.1-19.0.4.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/bad-mobs"
"mods","Balm","False","531761","7087245","balm-forge-1.20.1-7.3.37-all.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/balm"
"mods","Biomes O' Plenty","False","220318","4617259","BiomesOPlenty-1.20.1-18.0.0.592.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/biomes-o-plenty"
"mods","Born in Chaos","True","686437","7366478","born_in_chaos_[Forge]1.20.1_1.7.4.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/born-in-chaos"
"mods","Caelus API","False","308989","5281700","caelus-forge-3.2.0+1.20.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/caelus"
"mods","Callable Horses","False","331746","4730035","callablehorses-1.20.1-1.3.0.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/callable-horses"
"mods","Cloth Config API (Fabric/Forge/NeoForge)","False","348521","5729105","cloth-config-11.1.136-forge.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/cloth-config"
"mods","Clumps","False","256717","5278538","Clumps-forge-1.20.1-12.0.0.4.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/clumps"
"mods","Corpse","False","316582","7018272","corpse-forge-1.20.1-1.0.23.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/corpse"
"mods","CTE2 Custom Uniques","True","953261","4977726","CTE2ModpackArmors-1.0.3.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/cte2-custom-uniques"
"mods","CTE2 Essentials","True","934252","6863783","cte_essentials-1.0.7.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/cte2-essentials"
"mods","Cupboard","False","326652","5470032","cupboard-1.20.1-2.7.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/cupboard"
"mods","Curios API (Forge/NeoForge)","True","309927","6418456","curios-forge-5.14.1+1.20.1.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/curios"
"mods","Dungeon Realm","True","1200770","7190357","Dungeon-Realm-1.20.1-1.1.7.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/dungeon-realm"
"mods","Easy NPC","False","559312","6678549","easy_npc-forge-1.20.1-5.9.2.jar.disabled","True","False","https://www.curseforge.com/minecraft/mc-mods/easy-npc"
"mods","Embeddium","False","908741","5681725","embeddium-0.3.31+mc1.20.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/embeddium"
"mods","Enchanting Infuser","False","551151","5528724","EnchantingInfuser-v8.0.3-1.20.1-Forge.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/enchanting-infuser"
"mods","Enemy Expansion","False","690139","5286459","enemyexpansion-2.3.1-forge-1.20.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/enemy-expansion"
"mods","Epic Fight","True","405076","5922122","epicfight-forge-20.9.6-1.20.1.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/epic-fight-mod"
"mods","Epic Fight - Guandao Moveset","False","900642","5819718","falchionmoveset-20.8.2.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/epic-fight-guandao-moveset"
"mods","Epic Fight Mod & Other Mods Weapons Compabilities","False","952176","5214748","EFMCompat 2.0.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/efmcompat"
