"FileName","Server","EmbeddedClient","CurrentLauncher"
"0Pack2Reload-Forge-1.20.1-1.0.1.jar","False","True","False"
"aaa_particles_world-forge-1.20.1-1.0.3.jar","False","True","False"
"aaa-particles-forge-1.20.1-1.4.12.jar","False","True","False"
"acceleratedrendering-1.0.8-1.20.1-alpha.jar","False","True","False"
"aether-1.20.1-1.5.2-neoforge.jar","True","True","False"
"AgeingSpawners-1.20.1-2.0.0.jar","True","True","False"
"alexsmobs-1.22.9.jar","True","True","False"
"Ancient-Obelisks-1.20.1-1.2.3.jar","True","True","True"
"ApothicAttributes-1.20.1-1.3.7.jar","True","True","False"
"Aquaculture-1.20.1-2.5.7.jar","True","True","False"
"aquaculturedelight-1.1.1-forge-1.20.1.jar","True","True","False"
"aquamirae-forge-1.20.1-6.2.0.jar","True","True","False"
"architectury-9.2.14-forge.jar","True","True","False"
"armourersworkshop-forge-1.20.1-3.0.0-beta.18.jar","False","False","True"
"armourersworkshop-forge-1.20.1-3.2.7-beta.jar","True","True","False"
"artifacts-forge-9.5.16.jar","True","True","False"
"Ash Of Sin-Better AI-1.20.1-1.1.0.jar","True","True","False"
"Ash Of Sin-Custom Anti Seat Entity-1.20.1-1.0.1.jar","True","True","False"
"Ash Of Sin-No More Invalid Statistic-1.20.1-1.0.0.jar","True","True","False"
"Ash Of Sin-Soul Like Boss Battle-1.20.1-1.0.7.jar","True","True","False"
"athena-forge-1.20.1-3.1.2.jar","False","True","False"
"AttributeFix-Forge-1.20.1-21.0.5.jar","True","True","False"
"ba_bt-1.20.1-3.0.0-beta3.2.1.jar","True","True","False"
"balm-forge-1.20.1-7.3.38-all.jar","True","True","False"
"BEB-Forge-1.20.1-6.0.0.jar","True","True","False"
"better_structure_block-forge1.20.1-2.0.2.jar","True","True","False"
"betterendcities-1.0.0-1.20.1.jar","True","True","False"
"betterlockon-2.0.5-forge.jar","False","True","False"
"beyonddimensions-1.20.1-forge-0.7.6.jar","True","True","False"
"biomespy-1.3.3-all.jar","True","True","False"
"blue_skies-1.20.1-1.3.31.jar","True","True","False"
"BOMD-Forge-1.20.1-1.1.2.jar","True","True","False"
"bookofdragons-stub-0.0.0.jar","True","True","False"
"Bookshelf-Forge-1.20.1-20.2.15.jar","True","True","False"
"born_in_chaos_[Forge]1.20.1_1.7.4.jar","False","False","True"
"bountiful_npc-forge-1.20.1-1.0.4.jar","True","True","False"
"Bountiful-6.0.4+1.20.1-forge.jar","True","True","False"
"callablehorses-1.20.1-1.3.0.1.jar","True","True","False"
"cataclysm_dimension-forge1.20.1-1.6.2.jar","True","True","False"
"CerbonsAPI-Forge-1.20.1-1.1.0.jar","True","True","False"
"chatplus-forge-2.8.1.jar","False","True","False"
"chipped-forge-1.20.1-3.0.7.jar","True","True","False"
"chloride-FORGE-mc1.20.1-v1.7.5.jar","False","True","False"
"chunksending-1.20.1-2.8.jar","True","True","False"
"Chunky-1.3.146.jar","True","True","False"
"cinematiccataclysm-1.0.0-1.20.1.jar","True","True","False"
"citadel-2.6.3-1.20.1.jar","True","True","False"
"Clear-Water-2.1.jar","False","True","False"
"cloth-config-11.1.136-forge.jar","True","True","False"
"CombatEvolution-2.1.1.jar","True","True","False"
"combatroll-forge-1.3.3+1.20.1.jar","True","True","False"
"configured-forge-1.20.1-2.2.3.jar","True","True","False"
"Corgilib-Forge-1.20.1-4.0.3.4.jar","True","True","False"
"coroutil-forge-1.20.1-1.3.7.jar","True","True","False"
"cristellib-1.1.6-forge.jar","True","True","False"
"cte_essentials-1.0.7.jar","True","True","True"
"CTE2ModpackArmors-1.0.3.jar","False","False","True"
"cupboard-1.20.1-3.5.jar","True","True","False"
"curios-forge-5.14.1+1.20.1.jar","True","True","True"
"CustomSkinLoader_ForgeV2-14.27.jar","False","True","False"
"defaultoptions-forge-1.20.1-18.0.4.jar","False","True","False"
"DistantHorizons-2.4.5-b-1.20.1-fabric-forge.jar","False","True","False"
"dodge_parry_reward-1.20.1forge-20.14.2.jar","True","True","False"
"Dodos Mobs 1.0.1 beta.jar","True","True","False"
"domesticationinnovation-1.7.1-1.20.1.jar","True","True","False"
"drippyloadingscreen_forge_3.1.0_MC_1.20.1.jar","False","True","False"
"dummmmmmy-1.20-2.0.9.jar","True","True","False"
"Dungeon-Realm-1.20.1-1.1.7.jar","True","True","True"
"DungeonsArise-1.20.x-2.1.58-release.jar","True","True","False"
"embeddium-0.3.31+mc1.20.1.jar","False","True","False"
"EnchantingInfuser-v8.0.3-1.20.1-Forge.jar","True","True","False"
"EnchantmentDescriptions-Forge-1.20.1-17.1.21.jar","False","True","False"
"entityculling-forge-1.9.5-mc1.20.1.jar","False","True","False"
"entityjs-0.6.5-1.20.1.jar","True","True","False"
"entityrespawner-1.0.2.jar","True","True","False"
"epic_fight_avalon-20.12.6.4.jar","True","True","False"
"EpicFight Nightfall-3.2.2-all.jar","True","True","False"
"epicfight_arachne-1.0.0.jar","True","True","False"
"epicfight_leonidas-1.0.1.jar","True","True","False"
"epic-fight-20.14.12-mc1.20.1-forge.jar","True","True","False"
"epicfight-extra-1.1.4-mc1.20.1-forge-all.jar","True","True","False"
"epicfight-forge-20.9.6-1.20.1.jar","False","False","True"
"epic-fight-invincible-lib-20.14.8.2-mc1.20.1-forge.jar","True","True","False"
"epicfight-skilltree-forge-20.2.6.5-1.20.1.jar","True","True","False"
"epic-knights-1.20.1-forge-10.11.jar","True","True","False"
"exile_overlay-forge-1.7.1.jar","False","True","False"
"expandability-9.0.4.jar","True","True","False"
"ExtraSoundsNext-forge-1.20.1-1.4.jar","False","True","False"
"fallingtrees-forge-mc1.20-0.13.2-SNAPSHOT.jar","True","True","False"
"fancymenu_forge_3.8.1_MC_1.20.1.jar","False","True","True"
"Fancy-Trail1.20.1-1.1.5-all.jar","True","True","False"
"fantasy_armor-forge-1.2-1.20.1.jar","True","True","False"
"FarmersDelight-1.20.1-1.2.11.jar","True","True","False"
