"FileName","State","Kind","Bytes","Sha256","DistributionReview"
"aether-1.20.1-1.5.2-neoforge.jar","active","upstream-or-third-party","39746319","5cb64ab1f27e78e8338fe67f9c766578904aad9bc1f8bcc90f306ea52aea3fc5","provider-metadata-required"
"AgeingSpawners-1.20.1-2.0.0.jar","active","upstream-or-third-party","19957","d3fbc398171c5625e5ddac02a08e878413884350324008a83dd6cc1363eb6a00","provider-metadata-required"
"alexsmobs-1.22.9.jar","active","upstream-or-third-party","26350793","16bc5bcc19db9029c24f951346ec71098e6f5b0afef96e61894a2e9407aad37c","provider-metadata-required"
"Ancient-Obelisks-1.20.1-1.2.3.jar","active","upstream-or-third-party","350478","838521c23cc0921e678e42ace538ee6ed297fcd7af5e67fb4b7ebc76fb5f9982","provider-metadata-required"
"ApothicAttributes-1.20.1-1.3.7.jar","active","upstream-or-third-party","227511","68487b11c0d4e2f67a85f2b04bf65e99ac15294f2923f4391f83e9542293187a","provider-metadata-required"
"Aquaculture-1.20.1-2.5.7.jar","active","upstream-or-third-party","601839","4c96cf0dd3363a8e15f9ef6b6bfc00ac7d4791e8e9eeebe19b8092c59e800f8f","provider-metadata-required"
"aquaculturedelight-1.1.1-forge-1.20.1.jar","active","upstream-or-third-party","225149","eae5e753536614fbcf968f3f11cae54779d07e8547199ea5800dbb17617bfeee","provider-metadata-required"
"aquamirae-forge-1.20.1-6.2.0.jar","active","upstream-or-third-party","19043641","2ed3dd86bcfe51b40c3e3ba667e5956671d1f80f1bc8bef6c8ed9e5d2f918d9b","provider-metadata-required"
"architectury-9.2.14-forge.jar","active","upstream-or-third-party","580602","218b471d0b8a1f6cda14cfc1beb9eeb0df54304500acc6c5613d9b88ec65d9af","provider-metadata-required"
"armourersworkshop-forge-1.20.1-3.2.7-beta.jar","active","upstream-or-third-party","5904485","b7c8cb6b672e477e177979f6f9390477638fbc1d38d266c8674fe89c15bef45b","provider-metadata-required"
"artifacts-forge-9.5.16.jar","active","upstream-or-third-party","850457","b39b1aa5882b81f4a53710f841232e25c2eecb577bbde2f399c34bba5fee6e04","provider-metadata-required"
"Ash Of Sin-Better AI-1.20.1-1.1.0.jar","active","local-or-patched","81598","701204db339efe15d996e6a71909355b70f261b92ee2e94416ac22bc20f3a610","license-and-authorship-required"
"Ash Of Sin-Custom Anti Seat Entity-1.20.1-1.0.1.jar","active","local-or-patched","63730","54a66eda5af6088235ac9a3a5c1b8991bedadfdbf3dcf91b196b025af8f95680","license-and-authorship-required"
"Ash Of Sin-No More Invalid Statistic-1.20.1-1.0.0.jar","active","local-or-patched","66292","82fab621c78b273ea17576fb28378ca0a7f2603eff69629dd6aadd01eb6073a7","license-and-authorship-required"
"Ash Of Sin-Soul Like Boss Battle-1.20.1-1.0.7.jar","active","local-or-patched","69332","be868eb6d2622de774a136067b1d2ffc93194b5ace1e0396264fc52636c9527e","license-and-authorship-required"
"ATi Structures Default V1.4.2 (1.20+).jar.disabled","disabled","upstream-or-third-party","3149756","1db9d6bbcc5032ed42e47adf42d2a719b5a768cc42af6b999ac2b1208d0730a7","provider-metadata-required"
"AttributeFix-Forge-1.20.1-21.0.5.jar","active","local-or-patched","19499","43ccfd91c1a24d1b3c9d3ccf2dd6a86e9f0c2ba442b111a2238fbff3cf88af11","license-and-authorship-required"
